id,brand,description,calories,source
291384,,"Ice cream cone, vanilla, prepackaged (1 cone)",336.3,usda
291386,,"Ice cream cone, chocolate, prepackaged (1 cone)",335.4,usda
291388,,"Ice cream soda, flavors other than chocolate (1 soda (10 fl oz))",204.0,usda
291390,,"Ice cream soda, flavors other than chocolate (1 cup)",163.2,usda
291391,,"Ice cream soda, chocolate (1 soda (10 fl oz))",208.8,usda
291393,,"Ice cream soda, chocolate (1 cup)",167.0,usda
291400,,Banana split (1 banana split),975.1,usda
291410,,Light ice cream (1 cup),234.9,usda
291411,,Light ice cream (1 scoop),208.8,usda
291412,,Light ice cream (1 small ice cream cup),208.8,usda
291413,,Light ice cream (1 medium ice cream cup),417.6,usda
291414,,Light ice cream (1 large ice cream cup),626.4,usda
291415,,Light ice cream (1 cubic inch),16.0,usda
291417,,"Light ice cream, vanilla (1 cup)",234.9,usda
291418,,"Light ice cream, vanilla (1 scoop)",208.8,usda
291419,,"Light ice cream, vanilla (1 small ice cream cup)",208.8,usda
291420,,"Light ice cream, vanilla (1 medium ice cream cup)",417.6,usda
291421,,"Light ice cream, vanilla (1 large ice cream cup)",626.4,usda
291422,,"Light ice cream, vanilla (1 cubic inch)",16.0,usda
291424,,"Light ice cream, chocolate (1 cup)",243.0,usda
291425,,"Light ice cream, chocolate (1 scoop)",216.0,usda
291426,,"Light ice cream, chocolate (1 small ice cream cup)",216.0,usda
291427,,"Light ice cream, chocolate (1 medium ice cream cup)",432.0,usda
291428,,"Light ice cream, chocolate (1 large ice cream cup)",648.0,usda
291429,,"Light ice cream, chocolate (1 cubic inch)",16.6,usda
291440,,"Light ice cream bar, vanilla (1 bar)",177.0,usda
291441,,"Light ice cream bar, vanilla (1 miniature)",118.0,usda
291443,,"Light ice cream bar, vanilla, chocolate coated (1 bar)",177.0,usda
291444,,"Light ice cream bar, vanilla, chocolate coated (1 miniature)",118.0,usda
291446,,"Light ice cream bar, chocolate (1 bar)",180.0,usda
291448,,Creamsicle (1 sicle),107.3,usda
291450,,Fudgesicle (1 sicle),106.0,usda
291452,,"Light ice cream cone, vanilla, prepackaged (1 cone)",211.9,usda
291454,,"Light ice cream cone, chocolate, prepackaged (1 cone)",215.7,usda
291456,,"Sherbet, all flavors (1 cup)",252.0,usda
291457,,"Sherbet, all flavors (1 scoop)",230.4,usda
291458,,"Sherbet, all flavors (1 small ice cream cup)",230.4,usda
291459,,"Sherbet, all flavors (1 medium ice cream cup)",460.8,usda
291460,,"Sherbet, all flavors (1 large ice cream cup)",691.2,usda
291461,,"Sherbet, all flavors (1 push up)",72.0,usda
291462,,"Sherbet, all flavors (1 individual container)",108.0,usda
291464,,"Fudgesicle, light (1 bar)",55.8,usda
291473,,Custard (1 cup),252.2,usda
291475,,Flan (1 cup),462.8,usda
291476,,Flan (1 cubic inch),33.8,usda
291478,,Creme brulee (1 cup),293.8,usda
291479,,Creme brulee (1 cubic inch),21.5,usda
291513,,Mousse (1 cup),360.4,usda
